COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,│╒дhдHдf╝╞,║╙дhдHдf╝╞,дj╛╟░|о╒дHдf╝╞,▒MмьдHдf╝╞,░кдд┬╛дHдf╝╞,░ъддкь┬╛дHдf╝╞,дp╛╟дHдf╝╞,ж█н╫дHдf╝╞,дг├╤жrдHдf╝╞,╕ъо╞о╔╢б
10002,йy─ї┐д,10002100,дTмP╢m,10002100-005,дHйMз°,1,10,61,35,135,92,92,9,27,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-017,дjмwз°,6,70,283,214,460,261,267,13,9,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-015,дj╕qз°,3,37,225,113,307,292,213,14,13,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-010,дj┴Їз°,22,142,753,516,1209,863,671,35,71,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-002,д╤дsз°,3,9,63,46,134,134,140,10,21,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-003,д╤║╓з°,1,13,129,60,228,132,166,17,23,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-008,дым▄з°,3,26,135,108,238,194,166,19,16,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-011,жц░╖з°,4,30,141,89,226,202,159,1,12,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-018,з└╣╒з°,6,48,265,151,505,226,234,15,9,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-016,й|кZз°,1,20,128,72,220,185,134,12,20,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-009,л¤╖╙з°,4,33,156,138,378,365,215,20,50,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-001,н√дsз°,0,3,29,21,67,49,45,1,15,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-013,╢QкLз°,1,7,77,47,145,118,90,3,14,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-007,╢░╝yз°,1,28,207,142,364,243,213,13,34,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-014,╕U┤Iз°,0,25,110,78,232,149,140,2,25,"104Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-012,╕U╝wз°,1,19,98,73,173,134,98,9,17,"104Y"
