COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,240,127,113,1070,500,570,343,148,195,112Y12M
65000,新北市,65000010,板橋區,65000010-002,流芳里,228,109,119,933,418,515,316,139,177,112Y12M
65000,新北市,65000010,板橋區,65000010-003,赤松里,168,89,79,735,330,405,185,83,102,112Y12M
65000,新北市,65000010,板橋區,65000010-004,黃石里,275,146,129,825,384,441,238,109,129,112Y12M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,321,157,164,1183,578,605,442,216,226,112Y12M
65000,新北市,65000010,板橋區,65000010-006,湳興里,577,302,275,3620,1745,1875,1004,443,561,112Y12M
65000,新北市,65000010,板橋區,65000010-007,新興里,303,160,143,2331,1102,1229,659,281,378,112Y12M
65000,新北市,65000010,板橋區,65000010-008,社後里,643,344,299,6870,3932,2938,2301,1289,1012,112Y12M
65000,新北市,65000010,板橋區,65000010-009,香社里,459,226,233,3253,1652,1601,859,365,494,112Y12M
65000,新北市,65000010,板橋區,65000010-010,中正里,1061,536,525,5488,2692,2796,1038,449,589,112Y12M
65000,新北市,65000010,板橋區,65000010-011,自強里,585,306,279,3079,1530,1549,1401,641,760,112Y12M
65000,新北市,65000010,板橋區,65000010-012,自立里,259,122,137,1839,897,942,637,278,359,112Y12M
65000,新北市,65000010,板橋區,65000010-013,光華里,267,144,123,1765,897,868,592,251,341,112Y12M
65000,新北市,65000010,板橋區,65000010-014,國光里,267,133,134,2506,1265,1241,895,368,527,112Y12M
65000,新北市,65000010,板橋區,65000010-015,港尾里,395,214,181,2023,985,1038,525,221,304,112Y12M
65000,新北市,65000010,板橋區,65000010-016,金華里,429,240,189,2596,1268,1328,846,362,484,112Y12M
65000,新北市,65000010,板橋區,65000010-017,港德里,479,263,216,3133,1587,1546,1068,440,628,112Y12M
65000,新北市,65000010,板橋區,65000010-018,民權里,349,186,163,1694,844,850,673,278,395,112Y12M
65000,新北市,65000010,板橋區,65000010-019,建國里,360,186,174,2345,1141,1204,735,309,426,112Y12M
65000,新北市,65000010,板橋區,65000010-020,漢生里,766,403,363,2712,1287,1425,1051,488,563,112Y12M
65000,新北市,65000010,板橋區,65000010-021,公?里,577,301,276,2607,1299,1308,779,345,434,112Y12M
65000,新北市,65000010,板橋區,65000010-022,新民里,809,415,394,2794,1369,1425,920,400,520,112Y12M
65000,新北市,65000010,板橋區,65000010-023,幸福里,424,218,206,2812,1377,1435,795,346,449,112Y12M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,707,353,354,2801,1378,1423,917,373,544,112Y12M
65000,新北市,65000010,板橋區,65000010-025,百壽里,566,289,277,1893,865,1028,564,233,331,112Y12M
65000,新北市,65000010,板橋區,65000010-026,介壽里,583,314,269,2071,995,1076,640,290,350,112Y12M
65000,新北市,65000010,板橋區,65000010-027,新埔里,169,96,73,1386,682,704,483,213,270,112Y12M
65000,新北市,65000010,板橋區,65000010-028,華江里,1474,788,686,5173,2313,2860,1208,517,691,112Y12M
65000,新北市,65000010,板橋區,65000010-029,江翠里,535,273,262,3687,1840,1847,1022,449,573,112Y12M
65000,新北市,65000010,板橋區,65000010-030,純翠里,595,289,306,3895,1888,2007,1073,459,614,112Y12M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,1286,653,633,7190,3510,3680,1290,554,736,112Y12M
