COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,8,3,5,8,3,5,0,0,0,1626,111Y12M
65000,新北市,65000010,板橋區,65000010-002,流芳里,1,0,1,0,0,0,1,0,1,1455,111Y12M
65000,新北市,65000010,板橋區,65000010-003,赤松里,8,4,4,5,4,1,3,0,3,1061,111Y12M
65000,新北市,65000010,板橋區,65000010-004,黃石里,5,2,3,5,2,3,0,0,0,1300,111Y12M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,7,5,2,6,5,1,1,0,1,1922,111Y12M
65000,新北市,65000010,板橋區,65000010-006,湳興里,44,23,21,29,18,11,15,5,10,5111,111Y12M
65000,新北市,65000010,板橋區,65000010-007,新興里,23,11,12,13,9,4,10,2,8,3193,111Y12M
65000,新北市,65000010,板橋區,65000010-008,社後里,96,48,48,70,38,32,26,10,16,9592,111Y12M
65000,新北市,65000010,板橋區,65000010-009,香社里,45,20,25,25,10,15,20,10,10,4470,111Y12M
65000,新北市,65000010,板橋區,65000010-010,中正里,65,30,35,41,21,20,24,9,15,6963,111Y12M
65000,新北市,65000010,板橋區,65000010-011,自強里,29,12,17,15,6,9,14,6,8,5016,111Y12M
65000,新北市,65000010,板橋區,65000010-012,自立里,16,7,9,11,5,6,5,2,3,2728,111Y12M
65000,新北市,65000010,板橋區,65000010-013,光華里,14,3,11,9,2,7,5,1,4,2605,111Y12M
65000,新北市,65000010,板橋區,65000010-014,國光里,19,6,13,7,2,5,12,4,8,3634,111Y12M
65000,新北市,65000010,板橋區,65000010-015,港尾里,23,14,9,17,9,8,6,5,1,2898,111Y12M
65000,新北市,65000010,板橋區,65000010-016,金華里,17,5,12,12,4,8,5,1,4,3930,111Y12M
65000,新北市,65000010,板橋區,65000010-017,港德里,25,7,18,12,3,9,13,4,9,4681,111Y12M
65000,新北市,65000010,板橋區,65000010-018,民權里,13,5,8,4,2,2,9,3,6,2654,111Y12M
65000,新北市,65000010,板橋區,65000010-019,建國里,15,8,7,11,6,5,4,2,2,3456,111Y12M
65000,新北市,65000010,板橋區,65000010-020,漢生里,16,4,12,11,3,8,5,1,4,4280,111Y12M
65000,新北市,65000010,板橋區,65000010-021,公■里,26,12,14,18,7,11,8,5,3,3924,111Y12M
65000,新北市,65000010,板橋區,65000010-022,新民里,25,10,15,13,6,7,12,4,8,4481,111Y12M
