TAG,COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,INFO_TIME
標籤,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,資料時間
,65000,新北市,65000050,新莊區,65000050-001,海山里,1703,1424668,837,596,360,1078,774.35,92.56,"107Y"
,65000,新北市,65000050,新莊區,65000050-004,全安里,1366,1238384,907,638,386,1136,949.58,104.74,"107Y"
,65000,新北市,65000050,新莊區,65000050-010,文衡里,699,685486,981,672,383,1246,1136.69,115.91,"107Y"
,65000,新北市,65000050,新莊區,65000050-013,興漢里,1070,949404,887,632,381,1079,933.87,105.25,"107Y"
,65000,新北市,65000050,新莊區,65000050-016,榮和里,896,737054,823,586,352,966,944.85,114.86,"107Y"
,65000,新北市,65000050,新莊區,65000050-019,文德里,544,502169,923,658,381,1149,970.76,105.16,"107Y"
,65000,新北市,65000050,新莊區,65000050-022,文明里,546,510716,935,618,368,1085,1108.67,118.53,"107Y"
,65000,新北市,65000050,新莊區,65000050-023,中港里,1989,1726192,868,625,377,1083,820.36,94.53,"107Y"
,65000,新北市,65000050,新莊區,65000050-002,頭前里,3052,3885877,1273,793,430,1528,1871.02,146.95,"107Y"
,65000,新北市,65000050,新莊區,65000050-043,丹鳳里,2634,2188508,831,639,386,1052,728.29,87.65,"107Y"
,65000,新北市,65000050,新莊區,65000050-015,西盛里,3942,3446514,874,668,400,1100,792.84,90.68,"107Y"
,65000,新北市,65000050,新莊區,65000050-018,瓊林里,1588,1248413,786,588,372,958,734.38,93.41,"107Y"
,65000,新北市,65000050,新莊區,65000050-040,營盤里,777,604495,778,548,344,951,811.18,104.27,"107Y"
,65000,新北市,65000050,新莊區,65000050-009,後港里,2281,1801009,790,586,366,969,746.39,94.53,"107Y"
,65000,新北市,65000050,新莊區,65000050-003,國泰里,487,374016,768,551,326,875,919.57,119.74,"107Y"
,65000,新北市,65000050,新莊區,65000050-026,立人里,739,808283,1094,706,402,1375,1183.19,108.18,"107Y"
,65000,新北市,65000050,新莊區,65000050-008,恆安里,1350,1208060,895,644,378,1147,828.36,92.57,"107Y"
,65000,新北市,65000050,新莊區,65000050-025,思源里,1668,1368879,821,603,382,1024,811.99,98.94,"107Y"
,65000,新北市,65000050,新莊區,65000050-036,化成里,1236,1113674,901,620,377,1076,1019.93,113.2,"107Y"
,65000,新北市,65000050,新莊區,65000050-005,福基里,1633,1862263,1140,718,402,1411,1344.35,117.88,"107Y"
,65000,新北市,65000050,新莊區,65000050-039,思賢里,1290,1145782,888,635,383,1118,848.84,95.57,"107Y"
,65000,新北市,65000050,新莊區,65000050-011,中美里,1703,1407927,827,600,368,1030,766.04,92.66,"107Y"
,65000,新北市,65000050,新莊區,65000050-014,中和里,1376,1154034,839,576,368,975,1153.04,137.48,"107Y"
,65000,新北市,65000050,新莊區,65000050-017,中泰里,1266,918423,725,540,342,889,951.75,131.19,"107Y"
,65000,新北市,65000050,新莊區,65000050-031,立言里,1654,1405459,850,613,369,1054,776.74,91.41,"107Y"
,65000,新北市,65000050,新莊區,65000050-034,立功里,982,720494,734,577,362,931,625.47,85.25,"107Y"
,65000,新北市,65000050,新莊區,65000050-029,立德里,833,763659,917,629,368,1145,1023.97,111.7,"107Y"
,65000,新北市,65000050,新莊區,65000050-006,豐年里,1117,849471,760,563,372,903,703.09,92.45,"107Y"
,65000,新北市,65000050,新莊區,65000050-007,忠孝里,1527,1299294,851,616,360,1066,848.8,99.76,"107Y"
,65000,新北市,65000050,新莊區,65000050-037,立志里,1162,916499,789,576,364,958,726.03,92.05,"107Y"
,65000,新北市,65000050,新莊區,65000050-020,中誠里,638,512326,803,576,366,984,770.75,95.98,"107Y"
,65000,新北市,65000050,新莊區,65000050-045,自立里,1511,1196009,792,586,365,989,703.28,88.85,"107Y"
