sau_id,year,COUNTY,TOWN,VILLAGE,P_CNT,H_CNT,M_CNT,F_CNT,members
SAU_09007010-001,2018,連江縣,南竿鄉,介壽村,2373,619,1286,1087,['09007010-001']
SAU_09007010-001,2019,連江縣,南竿鄉,介壽村,2380,633,1297,1083,['09007010-001']
SAU_09007010-001,2020,連江縣,南竿鄉,介壽村,2401,658,1294,1107,['09007010-001']
SAU_09007010-001,2021,連江縣,南竿鄉,介壽村,2363,678,1254,1109,['09007010-001']
SAU_09007010-001,2022,連江縣,南竿鄉,介壽村,2381,691,1251,1130,['09007010-001']
SAU_09007010-001,2023,連江縣,南竿鄉,介壽村,2387,702,1258,1129,['09007010-001']
SAU_09007010-001,2024,連江縣,南竿鄉,介壽村,2346,713,1241,1105,['09007010-001']
SAU_09007010-002,2018,連江縣,南竿鄉,復興村,1217,229,691,526,['09007010-002']
SAU_09007010-002,2019,連江縣,南竿鄉,復興村,1186,234,671,515,['09007010-002']
SAU_09007010-002,2020,連江縣,南竿鄉,復興村,1146,245,652,494,['09007010-002']
SAU_09007010-002,2021,連江縣,南竿鄉,復興村,1089,256,616,473,['09007010-002']
SAU_09007010-002,2022,連江縣,南竿鄉,復興村,1077,264,608,469,['09007010-002']
SAU_09007010-002,2023,連江縣,南竿鄉,復興村,1086,268,610,476,['09007010-002']
SAU_09007010-002,2024,連江縣,南竿鄉,復興村,1062,271,591,471,['09007010-002']
SAU_09007010-003,2018,連江縣,南竿鄉,福沃村,926,213,536,390,['09007010-003']
SAU_09007010-003,2019,連江縣,南竿鄉,福沃村,885,214,517,368,['09007010-003']
SAU_09007010-003,2020,連江縣,南竿鄉,福沃村,878,224,518,360,['09007010-003']
SAU_09007010-003,2021,連江縣,南竿鄉,福沃村,868,225,512,356,['09007010-003']
SAU_09007010-003,2022,連江縣,南竿鄉,福沃村,923,239,546,377,['09007010-003']
SAU_09007010-003,2023,連江縣,南竿鄉,福沃村,925,238,545,380,['09007010-003']
SAU_09007010-003,2024,連江縣,南竿鄉,福沃村,906,244,543,363,['09007010-003']
SAU_09007010-004,2018,連江縣,南竿鄉,清水村,1133,290,634,499,['09007010-004']
SAU_09007010-004,2019,連江縣,南竿鄉,清水村,1161,303,652,509,['09007010-004']
SAU_09007010-004,2020,連江縣,南竿鄉,清水村,1175,322,665,510,['09007010-004']
SAU_09007010-004,2021,連江縣,南竿鄉,清水村,1168,339,656,512,['09007010-004']
SAU_09007010-004,2022,連江縣,南竿鄉,清水村,1254,350,715,539,['09007010-004']
SAU_09007010-004,2023,連江縣,南竿鄉,清水村,1270,353,719,551,['09007010-004']
SAU_09007010-004,2024,連江縣,南竿鄉,清水村,1223,355,700,523,['09007010-004']
SAU_09007010-005,2018,連江縣,南竿鄉,仁愛村,565,137,305,260,['09007010-005']
SAU_09007010-005,2019,連江縣,南竿鄉,仁愛村,574,146,318,256,['09007010-005']
SAU_09007010-005,2020,連江縣,南竿鄉,仁愛村,581,149,328,253,['09007010-005']
SAU_09007010-005,2021,連江縣,南竿鄉,仁愛村,682,153,407,275,['09007010-005']
SAU_09007010-005,2022,連江縣,南竿鄉,仁愛村,682,149,412,270,['09007010-005']
SAU_09007010-005,2023,連江縣,南竿鄉,仁愛村,664,151,397,267,['09007010-005']
SAU_09007010-005,2024,連江縣,南竿鄉,仁愛村,824,262,468,356,['09007010-005']
SAU_09007010-006,2018,連江縣,南竿鄉,津沙村,435,97,266,169,['09007010-006']
SAU_09007010-006,2019,連江縣,南竿鄉,津沙村,443,105,265,178,['09007010-006']
SAU_09007010-006,2020,連江縣,南竿鄉,津沙村,459,114,274,185,['09007010-006']
SAU_09007010-006,2021,連江縣,南竿鄉,津沙村,444,122,264,180,['09007010-006']
SAU_09007010-006,2022,連江縣,南竿鄉,津沙村,441,120,262,179,['09007010-006']
SAU_09007010-006,2023,連江縣,南竿鄉,津沙村,431,128,254,177,['09007010-006']
SAU_09007010-006,2024,連江縣,南竿鄉,津沙村,407,128,247,160,['09007010-006']
SAU_09007010-007,2018,連江縣,南竿鄉,馬祖村,607,120,348,259,['09007010-007']
SAU_09007010-007,2019,連江縣,南竿鄉,馬祖村,571,133,321,250,['09007010-007']
SAU_09007010-007,2020,連江縣,南竿鄉,馬祖村,569,141,316,253,['09007010-007']
SAU_09007010-007,2021,連江縣,南竿鄉,馬祖村,561,140,305,256,['09007010-007']
SAU_09007010-007,2022,連江縣,南竿鄉,馬祖村,548,140,295,253,['09007010-007']
SAU_09007010-007,2023,連江縣,南竿鄉,馬祖村,575,147,310,265,['09007010-007']
SAU_09007010-007,2024,連江縣,南竿鄉,馬祖村,567,154,308,259,['09007010-007']
SAU_09007010-008,2018,連江縣,南竿鄉,珠螺村,240,35,142,98,['09007010-008']
SAU_09007010-008,2019,連江縣,南竿鄉,珠螺村,240,36,146,94,['09007010-008']
SAU_09007010-008,2020,連江縣,南竿鄉,珠螺村,268,38,168,100,['09007010-008']
SAU_09007010-008,2021,連江縣,南竿鄉,珠螺村,314,40,201,113,['09007010-008']
SAU_09007010-008,2022,連江縣,南竿鄉,珠螺村,315,42,192,123,['09007010-008']
SAU_09007010-008,2023,連江縣,南竿鄉,珠螺村,306,42,175,131,['09007010-008']
SAU_09007010-008,2024,連江縣,南竿鄉,珠螺村,300,42,171,129,['09007010-008']
SAU_09007010-009,2018,連江縣,南竿鄉,四維村,167,32,96,71,['09007010-009']
SAU_09007010-009,2019,連江縣,南竿鄉,四維村,159,33,93,66,['09007010-009']
SAU_09007010-009,2020,連江縣,南竿鄉,四維村,161,34,93,68,['09007010-009']
SAU_09007010-009,2021,連江縣,南竿鄉,四維村,168,46,100,68,['09007010-009']
SAU_09007010-009,2022,連江縣,南竿鄉,四維村,176,50,102,74,['09007010-009']
SAU_09007010-009,2023,連江縣,南竿鄉,四維村,183,54,108,75,['09007010-009']
SAU_09007010-009,2024,連江縣,南竿鄉,四維村,180,55,110,70,['09007010-009']
SAU_09007020-001,2018,連江縣,北竿鄉,塘岐村,1140,291,632,508,['09007020-001']
SAU_09007020-001,2019,連江縣,北竿鄉,塘岐村,1220,332,695,525,['09007020-001']
SAU_09007020-001,2020,連江縣,北竿鄉,塘岐村,1215,353,683,532,['09007020-001']
SAU_09007020-001,2021,連江縣,北竿鄉,塘岐村,1276,368,718,558,['09007020-001']
SAU_09007020-001,2022,連江縣,北竿鄉,塘岐村,1325,387,746,579,['09007020-001']
SAU_09007020-001,2023,連江縣,北竿鄉,塘岐村,1327,399,744,583,['09007020-001']
SAU_09007020-001,2024,連江縣,北竿鄉,塘岐村,1305,412,735,570,['09007020-001']
SAU_09007020-002,2018,連江縣,北竿鄉,后沃村,205,57,114,91,['09007020-002']
SAU_09007020-002,2019,連江縣,北竿鄉,后沃村,212,69,117,95,['09007020-002']
SAU_09007020-002,2020,連江縣,北竿鄉,后沃村,233,80,134,99,['09007020-002']
SAU_09007020-002,2021,連江縣,北竿鄉,后沃村,243,83,137,106,['09007020-002']
SAU_09007020-002,2022,連江縣,北竿鄉,后沃村,246,90,138,108,['09007020-002']
SAU_09007020-002,2023,連江縣,北竿鄉,后沃村,234,90,129,105,['09007020-002']
SAU_09007020-002,2024,連江縣,北竿鄉,后沃村,226,91,125,101,['09007020-002']
SAU_09007020-003,2018,連江縣,北竿鄉,橋仔村,391,91,228,163,['09007020-003']
SAU_09007020-003,2019,連江縣,北竿鄉,橋仔村,411,99,240,171,['09007020-003']
SAU_09007020-003,2020,連江縣,北竿鄉,橋仔村,409,108,242,167,['09007020-003']
SAU_09007020-003,2021,連江縣,北竿鄉,橋仔村,480,126,278,202,['09007020-003']
SAU_09007020-003,2022,連江縣,北竿鄉,橋仔村,532,134,308,224,['09007020-003']
SAU_09007020-003,2023,連江縣,北竿鄉,橋仔村,513,146,297,216,['09007020-003']
SAU_09007020-003,2024,連江縣,北竿鄉,橋仔村,496,148,290,206,['09007020-003']
SAU_09007020-004,2018,連江縣,北竿鄉,芹壁村,217,74,113,104,['09007020-004']
SAU_09007020-004,2019,連江縣,北竿鄉,芹壁村,221,84,120,101,['09007020-004']
SAU_09007020-004,2020,連江縣,北竿鄉,芹壁村,302,93,182,120,['09007020-004']
SAU_09007020-004,2021,連江縣,北竿鄉,芹壁村,420,102,267,153,['09007020-004']
SAU_09007020-004,2022,連江縣,北竿鄉,芹壁村,426,106,277,149,['09007020-004']
SAU_09007020-004,2023,連江縣,北竿鄉,芹壁村,433,108,276,157,['09007020-004']
SAU_09007020-004,2024,連江縣,北竿鄉,芹壁村,411,113,257,154,['09007020-004']
SAU_09007020-005,2018,連江縣,北竿鄉,�閮膚�,321,86,167,154,['09007020-005']
