sau_id,year,COUNTY,TOWN,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,members
SAU_09007010-001,2011,連江縣,南竿鄉,介壽村,431,2014,1127,887,['09007010-001']
SAU_09007010-001,2012,連江縣,南竿鄉,介壽村,448,2297,1280,1017,['09007010-001']
SAU_09007010-001,2013,連江縣,南竿鄉,介壽村,472,2388,1326,1062,['09007010-001']
SAU_09007010-001,2014,連江縣,南竿鄉,介壽村,488,2367,1318,1049,['09007010-001']
SAU_09007010-001,2015,連江縣,南竿鄉,介壽村,498,2337,1293,1044,['09007010-001']
SAU_09007010-001,2016,連江縣,南竿鄉,介壽村,520,2344,1273,1071,['09007010-001']
SAU_09007010-001,2017,連江縣,南竿鄉,介壽村,568,2358,1277,1081,['09007010-001']
SAU_09007010-001,2018,連江縣,南竿鄉,介壽村,619,2373,1286,1087,['09007010-001']
SAU_09007010-001,2019,連江縣,南竿鄉,介壽村,633,2380,1297,1083,['09007010-001']
SAU_09007010-001,2020,連江縣,南竿鄉,介壽村,658,2401,1294,1107,['09007010-001']
SAU_09007010-001,2021,連江縣,南竿鄉,介壽村,678,2363,1254,1109,['09007010-001']
SAU_09007010-001,2022,連江縣,南竿鄉,介壽村,691,2381,1251,1130,['09007010-001']
SAU_09007010-001,2023,連江縣,南竿鄉,介壽村,702,2387,1258,1129,['09007010-001']
SAU_09007010-001,2024,連江縣,南竿鄉,介壽村,713,2346,1241,1105,['09007010-001']
SAU_09007010-002,2011,連江縣,南竿鄉,復興村,207,996,576,420,['09007010-002']
SAU_09007010-002,2012,連江縣,南竿鄉,復興村,217,1162,668,494,['09007010-002']
SAU_09007010-002,2013,連江縣,南竿鄉,復興村,225,1344,769,575,['09007010-002']
SAU_09007010-002,2014,連江縣,南竿鄉,復興村,229,1367,787,580,['09007010-002']
SAU_09007010-002,2015,連江縣,南竿鄉,復興村,226,1350,771,579,['09007010-002']
SAU_09007010-002,2016,連江縣,南竿鄉,復興村,226,1279,731,548,['09007010-002']
SAU_09007010-002,2017,連江縣,南竿鄉,復興村,228,1255,716,539,['09007010-002']
SAU_09007010-002,2018,連江縣,南竿鄉,復興村,229,1217,691,526,['09007010-002']
SAU_09007010-002,2019,連江縣,南竿鄉,復興村,234,1186,671,515,['09007010-002']
SAU_09007010-002,2020,連江縣,南竿鄉,復興村,245,1146,652,494,['09007010-002']
SAU_09007010-002,2021,連江縣,南竿鄉,復興村,256,1089,616,473,['09007010-002']
SAU_09007010-002,2022,連江縣,南竿鄉,復興村,264,1077,608,469,['09007010-002']
SAU_09007010-002,2023,連江縣,南竿鄉,復興村,268,1086,610,476,['09007010-002']
SAU_09007010-002,2024,連江縣,南竿鄉,復興村,271,1062,591,471,['09007010-002']
SAU_09007010-003,2011,連江縣,南竿鄉,福沃村,144,746,450,296,['09007010-003']
SAU_09007010-003,2012,連江縣,南竿鄉,福沃村,158,836,495,341,['09007010-003']
SAU_09007010-003,2013,連江縣,南竿鄉,福沃村,175,900,535,365,['09007010-003']
SAU_09007010-003,2014,連江縣,南竿鄉,福沃村,176,961,576,385,['09007010-003']
SAU_09007010-003,2015,連江縣,南竿鄉,福沃村,182,901,527,374,['09007010-003']
SAU_09007010-003,2016,連江縣,南竿鄉,福沃村,187,883,524,359,['09007010-003']
SAU_09007010-003,2017,連江縣,南竿鄉,福沃村,199,913,534,379,['09007010-003']
SAU_09007010-003,2018,連江縣,南竿鄉,福沃村,213,926,536,390,['09007010-003']
SAU_09007010-003,2019,連江縣,南竿鄉,福沃村,214,885,517,368,['09007010-003']
SAU_09007010-003,2020,連江縣,南竿鄉,福沃村,224,878,518,360,['09007010-003']
SAU_09007010-003,2021,連江縣,南竿鄉,福沃村,225,868,512,356,['09007010-003']
SAU_09007010-003,2022,連江縣,南竿鄉,福沃村,239,923,546,377,['09007010-003']
SAU_09007010-003,2023,連江縣,南竿鄉,福沃村,238,925,545,380,['09007010-003']
SAU_09007010-003,2024,連江縣,南竿鄉,福沃村,244,906,543,363,['09007010-003']
SAU_09007010-004,2011,連江縣,南竿鄉,清水村,148,680,381,299,['09007010-004']
SAU_09007010-004,2012,連江縣,南竿鄉,清水村,159,722,400,322,['09007010-004']
SAU_09007010-004,2013,連江縣,南竿鄉,清水村,168,794,444,350,['09007010-004']
SAU_09007010-004,2014,連江縣,南竿鄉,清水村,177,880,513,367,['09007010-004']
SAU_09007010-004,2015,連江縣,南竿鄉,清水村,196,905,523,382,['09007010-004']
SAU_09007010-004,2016,連江縣,南竿鄉,清水村,226,982,560,422,['09007010-004']
SAU_09007010-004,2017,連江縣,南竿鄉,清水村,273,1051,580,471,['09007010-004']
SAU_09007010-004,2018,連江縣,南竿鄉,清水村,290,1133,634,499,['09007010-004']
SAU_09007010-004,2019,連江縣,南竿鄉,清水村,303,1161,652,509,['09007010-004']
SAU_09007010-004,2020,連江縣,南竿鄉,清水村,322,1175,665,510,['09007010-004']
SAU_09007010-004,2021,連江縣,南竿鄉,清水村,339,1168,656,512,['09007010-004']
SAU_09007010-004,2022,連江縣,南竿鄉,清水村,350,1254,715,539,['09007010-004']
SAU_09007010-004,2023,連江縣,南竿鄉,清水村,353,1270,719,551,['09007010-004']
SAU_09007010-004,2024,連江縣,南竿鄉,清水村,355,1223,700,523,['09007010-004']
SAU_09007010-005,2011,連江縣,南竿鄉,仁愛村,110,478,268,210,['09007010-005']
SAU_09007010-005,2012,連江縣,南竿鄉,仁愛村,110,523,283,240,['09007010-005']
SAU_09007010-005,2013,連江縣,南竿鄉,仁愛村,112,555,300,255,['09007010-005']
SAU_09007010-005,2014,連江縣,南竿鄉,仁愛村,113,569,309,260,['09007010-005']
SAU_09007010-005,2015,連江縣,南竿鄉,仁愛村,115,553,299,254,['09007010-005']
SAU_09007010-005,2016,連江縣,南竿鄉,仁愛村,117,553,298,255,['09007010-005']
SAU_09007010-005,2017,連江縣,南竿鄉,仁愛村,129,556,302,254,['09007010-005']
SAU_09007010-005,2018,連江縣,南竿鄉,仁愛村,137,565,305,260,['09007010-005']
SAU_09007010-005,2019,連江縣,南竿鄉,仁愛村,146,574,318,256,['09007010-005']
SAU_09007010-005,2020,連江縣,南竿鄉,仁愛村,149,581,328,253,['09007010-005']
SAU_09007010-005,2021,連江縣,南竿鄉,仁愛村,153,682,407,275,['09007010-005']
SAU_09007010-005,2022,連江縣,南竿鄉,仁愛村,149,682,412,270,['09007010-005']
SAU_09007010-005,2023,連江縣,南竿鄉,仁愛村,151,664,397,267,['09007010-005']
SAU_09007010-005,2024,連江縣,南竿鄉,仁愛村,262,824,468,356,['09007010-005']
SAU_09007010-006,2011,連江縣,南竿鄉,津沙村,60,298,199,99,['09007010-006']
SAU_09007010-006,2012,連江縣,南竿鄉,津沙村,63,332,214,118,['09007010-006']
SAU_09007010-006,2013,連江縣,南竿鄉,津沙村,68,359,230,129,['09007010-006']
SAU_09007010-006,2014,連江縣,南竿鄉,津沙村,72,372,235,137,['09007010-006']
SAU_09007010-006,2015,連江縣,南竿鄉,津沙村,72,380,240,140,['09007010-006']
SAU_09007010-006,2016,連江縣,南竿鄉,津沙村,80,379,235,144,['09007010-006']
SAU_09007010-006,2017,連江縣,南竿鄉,津沙村,89,425,261,164,['09007010-006']
SAU_09007010-006,2018,連江縣,南竿鄉,津沙村,97,435,266,169,['09007010-006']
SAU_09007010-006,2019,連江縣,南竿鄉,津沙村,105,443,265,178,['09007010-006']
SAU_09007010-006,2020,連江縣,南竿鄉,津沙村,114,459,274,185,['09007010-006']
SAU_09007010-006,2021,連江縣,南竿鄉,津沙村,122,444,264,180,['09007010-006']
SAU_09007010-006,2022,連江縣,南竿鄉,津沙村,120,441,262,179,['09007010-006']
