sau_id,year,COUNTY,TOWN,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,members
SAU_09007010-001,2020,連江縣,南竿鄉,介壽村,658,2401,1294,1107,['09007010-001']
SAU_09007010-001,2021,連江縣,南竿鄉,介壽村,678,2363,1254,1109,['09007010-001']
SAU_09007010-001,2022,連江縣,南竿鄉,介壽村,691,2381,1251,1130,['09007010-001']
SAU_09007010-001,2023,連江縣,南竿鄉,介壽村,702,2387,1258,1129,['09007010-001']
SAU_09007010-001,2024,連江縣,南竿鄉,介壽村,713,2346,1241,1105,['09007010-001']
SAU_09007010-002,2020,連江縣,南竿鄉,復興村,245,1146,652,494,['09007010-002']
SAU_09007010-002,2021,連江縣,南竿鄉,復興村,256,1089,616,473,['09007010-002']
SAU_09007010-002,2022,連江縣,南竿鄉,復興村,264,1077,608,469,['09007010-002']
SAU_09007010-002,2023,連江縣,南竿鄉,復興村,268,1086,610,476,['09007010-002']
SAU_09007010-002,2024,連江縣,南竿鄉,復興村,271,1062,591,471,['09007010-002']
SAU_09007010-003,2020,連江縣,南竿鄉,福沃村,224,878,518,360,['09007010-003']
SAU_09007010-003,2021,連江縣,南竿鄉,福沃村,225,868,512,356,['09007010-003']
SAU_09007010-003,2022,連江縣,南竿鄉,福沃村,239,923,546,377,['09007010-003']
SAU_09007010-003,2023,連江縣,南竿鄉,福沃村,238,925,545,380,['09007010-003']
SAU_09007010-003,2024,連江縣,南竿鄉,福沃村,244,906,543,363,['09007010-003']
SAU_09007010-004,2020,連江縣,南竿鄉,清水村,322,1175,665,510,['09007010-004']
SAU_09007010-004,2021,連江縣,南竿鄉,清水村,339,1168,656,512,['09007010-004']
SAU_09007010-004,2022,連江縣,南竿鄉,清水村,350,1254,715,539,['09007010-004']
SAU_09007010-004,2023,連江縣,南竿鄉,清水村,353,1270,719,551,['09007010-004']
SAU_09007010-004,2024,連江縣,南竿鄉,清水村,355,1223,700,523,['09007010-004']
SAU_09007010-005,2020,連江縣,南竿鄉,仁愛村,149,581,328,253,['09007010-005']
SAU_09007010-005,2021,連江縣,南竿鄉,仁愛村,153,682,407,275,['09007010-005']
SAU_09007010-005,2022,連江縣,南竿鄉,仁愛村,149,682,412,270,['09007010-005']
SAU_09007010-005,2023,連江縣,南竿鄉,仁愛村,151,664,397,267,['09007010-005']
SAU_09007010-005,2024,連江縣,南竿鄉,仁愛村,262,824,468,356,['09007010-005']
SAU_09007010-006,2020,連江縣,南竿鄉,津沙村,114,459,274,185,['09007010-006']
SAU_09007010-006,2021,連江縣,南竿鄉,津沙村,122,444,264,180,['09007010-006']
SAU_09007010-006,2022,連江縣,南竿鄉,津沙村,120,441,262,179,['09007010-006']
SAU_09007010-006,2023,連江縣,南竿鄉,津沙村,128,431,254,177,['09007010-006']
SAU_09007010-006,2024,連江縣,南竿鄉,津沙村,128,407,247,160,['09007010-006']
SAU_09007010-007,2020,連江縣,南竿鄉,馬祖村,141,569,316,253,['09007010-007']
SAU_09007010-007,2021,連江縣,南竿鄉,馬祖村,140,561,305,256,['09007010-007']
SAU_09007010-007,2022,連江縣,南竿鄉,馬祖村,140,548,295,253,['09007010-007']
SAU_09007010-007,2023,連江縣,南竿鄉,馬祖村,147,575,310,265,['09007010-007']
SAU_09007010-007,2024,連江縣,南竿鄉,馬祖村,154,567,308,259,['09007010-007']
SAU_09007010-008,2020,連江縣,南竿鄉,珠螺村,38,268,168,100,['09007010-008']
SAU_09007010-008,2021,連江縣,南竿鄉,珠螺村,40,314,201,113,['09007010-008']
SAU_09007010-008,2022,連江縣,南竿鄉,珠螺村,42,315,192,123,['09007010-008']
